IP,Port,Vulnerabilities
122.56.75.225,443,"CVE-2022-26377, CVE-2020-11985, CVE-2022-31628, CVE-2022-31629, CVE-2006-20001, CVE-2017-7679, CVE-2022-28614, CVE-2020-1934, CVE-2018-17189, CVE-2016-0736, CVE-2022-29404, CVE-2018-1312, CVE-2018-15132, CVE-2018-19396, CVE-2018-1333, CVE-2022-22720, CVE-2018-11763, CVE-2022-28330, CVE-2020-11993, CVE-2018-19520, CVE-2019-10081, CVE-2018-19395, CVE-2018-19935, CVE-2019-9023, CVE-2019-0217, CVE-2019-0196, CVE-2019-9020, CVE-2022-22721, CVE-2019-0211, CVE-2019-10092, CVE-2019-9639, CVE-2019-9021, CVE-2019-17567, CVE-2017-15715, CVE-2022-31813, CVE-2019-10098, CVE-2022-37436, CVE-2019-9637, CVE-2016-5387, CVE-2021-40438, CVE-2022-30556, CVE-2018-20783, CVE-2021-34798, CVE-2019-9024, CVE-2022-23943, CVE-2020-1927, CVE-2018-17199, CVE-2018-14883, CVE-2017-9788, CVE-2017-7272, CVE-2017-15710, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2017-3167, CVE-2017-9798, CVE-2023-25690, CVE-2017-3169, CVE-2020-9490, CVE-2015-9253, CVE-2016-2161, CVE-2021-33193, CVE-2021-44790, CVE-2018-14851, CVE-2019-9641, CVE-2021-26690, CVE-2021-26691, CVE-2018-17082, CVE-2019-0220, CVE-2017-7963, CVE-2018-19518, CVE-2016-4975, CVE-2020-13938, CVE-2019-9517, CVE-2018-1283, CVE-2019-10082, CVE-2016-8740, CVE-2016-8743, CVE-2021-44224, CVE-2019-9638, CVE-2021-39275, CVE-2022-28615, CVE-2020-35452, CVE-2022-36760, CVE-2022-22719"
122.56.168.89,179,
210.55.78.145,179,
122.56.76.23,179,
122.56.76.201,123,
122.56.63.215,443,"CVE-2022-31628, CVE-2022-31629"
122.56.76.179,179,
210.55.72.211,8443,
210.55.228.155,179,
122.56.171.63,554,
122.56.79.163,179,
122.56.85.251,8010,
210.55.72.227,179,
122.56.168.25,179,
122.56.76.103,179,
122.56.78.235,179,
219.88.224.183,179,
210.55.72.97,179,
122.56.78.117,179,
122.56.79.195,179,
